Asset Name,Asset Id,Data Date (UTC), Latitude, Longitude, Speed, Heading, Report Body
iES 9430,300434064949430,2023-06-21 18:39:52, 70° 35.12521 ', -163° 50.20506 ', 8.00, 225.0000000, 01-7B-99-59-AA-98-4D-11-44-42
iES 9430,300434064949430,2023-06-21 18:10:01, 70° 35.70263 ', -163° 36.43052 ', 8.00, 225.0000000, 01-7B-0D-F9-86-91-46-07-4B-AE
iES 9430,300434064949430,2023-06-21 17:39:59, 70° 35.72066 ', -163° 22.57616 ', 8.00, 225.0000000, 01-7B-F7-46-4B-9C-E8-DC-92-4C
iES 9430,300434064949430,2023-06-21 17:10:00, 70° 36.11012 ', -163° 8.88531 ', 8.00, 270.0000000, 01-7B-1E-FC-42-E7-11-1F-E0-86
iES 9430,300434064949430,2023-06-21 16:40:19, 70° 36.06634 ', -162° 56.40982 ', 8.00, 270.0000000, 01-7B-8F-C1-B6-4C-6F-DA-E1-4B
iES 9430,300434064949430,2023-06-21 15:38:36, 70° 35.42776 ', -162° 29.71561 ', 4.00, 0.0000000, 7C-4A-32-2B-F9-82-21-BA
iES 9430,300434064949430,2023-06-21 15:08:36, 70° 35.04539 ', -162° 16.01575 ', 8.00, 270.0000000, 01-7B-10-0B-E5-F6-AB-40-5A-67
iES 9430,300434064949430,2023-06-21 13:21:44, 70° 34.37269 ', -161° 31.95499 ', 8.00, 270.0000000, 01-7B-30-2C-B3-D7-66-22-18-AA
iES 9430,300434064949430,2023-06-21 12:51:45, 70° 34.14545 ', -161° 19.93655 ', 8.00, 270.0000000, 01-7B-73-40-0B-6F-DC-17-96-64
iES 9430,300434064949430,2023-06-21 09:51:51, 70° 34.72610 ', -161° 4.95180 ', 0.00, 0.0000000, 7B-B1-84-77-97-45-BA-1E
iES 9430,300434064949430,2023-06-21 09:21:51, 70° 41.43055 ', -160° 50.14601 ', 4.00, 0.0000000, D4-DC-C6-4A-DB-62-BE-CA
iES 9430,300434064949430,2023-06-21 08:51:51, 70° 46.01712 ', -160° 51.76435 ', 0.00, 0.0000000, EB-84-16-0A-56-97-51-02
iES 9430,300434064949430,2023-06-21 08:51:51, 70° 46.66214 ', -161° 0.34784 ', 0.00, 0.0000000, 04-12-57-83-BE-96-F9-C0
iES 9430,300434064949430,2023-06-21 08:21:51, 70° 48.53024 ', -161° 4.27331 ', 0.00, 0.0000000, 2A-60-0E-E8-8C-18-76-0F
iES 9430,300434064949430,2023-06-21 07:51:51, 70° 48.86048 ', -161° 6.41822 ', 0.00, 0.0000000, 01-7B-71-53-E3-FC-61-8F-F5-A1
iES 9430,300434064949430,2023-06-21 07:22:21, 70° 49.30144 ', -161° 8.07647 ', 4.00, 180.0000000, 01-7B-EC-6D-A8-32-51-A6-A5-21
iES 9430,300434064949430,2023-06-21 06:51:50, 70° 50.56315 ', -161° 6.86754 ', 4.00, 180.0000000, 01-7B-2E-04-06-0E-98-B1-14-2D
